,channelName,date,dislikes,title,likes,Subscribers,url,Views,Keywords,id
70,TechLead,2018-06-09,3300,visualization python matplotlib,89000,1060000,https://www.youtube.com/watch?v=R2pIutTspQA,2925512,visualization python matplotlib,71
71,Clément Mihailescu,2019-12-22,1200,become data analyst,54000,332000,https://www.youtube.com/watch?v=3NndCfFQNHA,759214,become data analyst,72
72,Nitrogen,2021-03-09,28,formatted string span,618,18300,https://www.youtube.com/watch?v=ueOqcwlFfMc,16076,formatted string span,73
73,Caleb Curry,2019-07-24,451,string span class,37000,377000,https://www.youtube.com/watch?v=_bYFu9mBnr4,1356706,string span class,74
74,Mike Dane,2017-12-05,46,chapter deep learning,2200,185000,https://www.youtube.com/watch?v=raZSmcariyU,80841,chapter deep learning,75
75,The Cherno,2020-09-23,156,deep learning full,12000,377000,https://www.youtube.com/watch?v=_zQqN5OYCCM,250366,deep learning full,76
76,thenewboston,2008-08-02,82,learning full course,2200,2550000,https://www.youtube.com/watch?v=16yji8At2UI,346463,learning full course,77
77,Yes Tech Media,2021-01-08,9,deep learning tutorial,613,8460,https://www.youtube.com/watch?v=iOfUlcUy0as,16832,deep learning tutorial,78
78,Avery Makes Games,2020-05-08,36,introduction deep learning,448,1960,https://www.youtube.com/watch?v=96hZpsP0bbE,16614,introduction deep learning,79
79,CodeWithHarry,2020-09-23,47,deep learning deep,2500,1410000,https://www.youtube.com/watch?v=wKDvMcJiEPM,55825,deep learning deep,80
80,Technology Channel,2020-01-03,29,machine learning foundation,1500,122000,https://www.youtube.com/watch?v=iD41e2PyzZ0,46407,machine learning foundation,81
81,freeCodeCamp.org,2019-12-09,293,introduction hadoop hadoop,14000,3630000,https://www.youtube.com/watch?v=LsNW4FPHuZE,458122,introduction hadoop hadoop,82
82,Extern Code,2017-02-20,1200,beginner hadoop tutorial,66000,77200,https://www.youtube.com/watch?v=mUQZ1qmKlLY,2982880,beginner hadoop tutorial,83
83,Enjoy Learning Programming,2021-06-04,0,data hadoop tutorial,3,175,https://www.youtube.com/watch?v=Xij2LSi8UPc,20,data hadoop tutorial,84
84,ARYAN CODING,2021-06-03,0,apache hadoop tutorial,2,0,https://www.youtube.com/watch?v=0iEH3GW6wMk,44,apache hadoop tutorial,85
85,Technical Malik81,2021-06-04,0,tutorial hadoop tutorial,1,10,https://www.youtube.com/watch?v=DXotvRQ1WW8,8,tutorial hadoop tutorial,86
86,Techify shreyansh,2021-06-03,0,hadoop tutorial simplilearn,0,4,https://www.youtube.com/watch?v=X_KIxGDexXQ,2,hadoop tutorial simplilearn,87
87,kjdElectronics,2011-02-01,300,yarn architecture hadoop,3100,59800,https://www.youtube.com/watch?v=ki3B8a-jLrE,798363,yarn architecture hadoop,88
88,Great Learning,2020-05-29,350,microsoft azure training,18000,401000,https://www.youtube.com/watch?v=Umm1ZQ5ltZw,632182,microsoft azure training,89
89,Kite,2020-08-27,38,azure training simplilearn,2800,31500,https://www.youtube.com/watch?v=-29x_deQQus,76355,azure training simplilearn,90
90,Corey Schafer,2017-05-17,93,microsoft azure fundamental,11000,779000,https://www.youtube.com/watch?v=CqvZ3vGoGs0,512482,microsoft azure fundamental,91
91,edureka!,,29,tutorial azure tutorial,953,2670000,https://www.youtube.com/watch?v=dVr7r7QgLrk,56944,tutorial azure tutorial,92
92,Python Programmer,2019-01-17,1200,azure active directory,14000,263000,https://www.youtube.com/watch?v=xECXZ3tyONo,461388,azure active directory,93
93,Apeer_micro,2020-04-14,0,feature selection technique,85,2910,https://www.youtube.com/watch?v=9-8zou4tbQo,4060,feature selection technique,94
94,Telusko,2018-08-11,152,feature selection feature,8200,1370000,https://www.youtube.com/watch?v=1RuMJ53CKds,331471,feature selection feature,95
95,InterviewGIG,2019-08-01,31,python tutorial python,192,0,https://www.youtube.com/watch?v=EYmz5ymhqAk,12512,python tutorial python,96
96,Tech With Tim,2020-03-17,335,python tutorial absolute,19000,660000,https://www.youtube.com/watch?v=Vi9Y9AL13Rc,579304,python tutorial absolute,97
97,Jack of Some,2020-03-20,17,beginner python tutorial,2400,23000,https://www.youtube.com/watch?v=eILeIEE3C8c,57682,beginner python tutorial,98
98,Sundeep Saradhi Kanthety,2020-06-22,6,python tutorial edureka,306,280000,https://www.youtube.com/watch?v=Dpnf8goamGY,9694,python tutorial edureka,99
99,I know python,2020-06-17,5,learn python full,176,29600,https://www.youtube.com/watch?v=e7MsoJsO0WY,4784,learn python full,100
100,Simplilearn,,4,python python tutorial,421,1090000,https://www.youtube.com/watch?v=Ee8dDnwq374,10181,python python tutorial,101
101,NeuralNine,2021-06-04,1,learn java minute,92,82800,https://www.youtube.com/watch?v=eDkCGqkaCeU,631,learn java minute,102
102,Kalle Hallden,2019-08-16,1400,programming tutorial introduction,34000,500000,https://www.youtube.com/watch?v=qbW6FRbaSl0,1232201,programming tutorial introduction,103
103,Tech With Tim,2020-08-24,208,learn code quickly,25000,660000,https://www.youtube.com/watch?v=p15xzjzR9j0,447133,learn code quickly,104
104,Programming with Mosh,2020-09-16,412,code quickly easily,42000,1770000,https://www.youtube.com/watch?v=kqtD5dpn9C8,1470280,code quickly easily,105
105,The Net Ninja,2017-07-10,29,beginner java full,864,720000,https://www.youtube.com/watch?v=f26nAmfJggw,76111,beginner java full,106
106,edureka!,,56,tutorial complete beginner,917,2670000,https://www.youtube.com/watch?v=7GXaobCrBb4,54160,tutorial complete beginner,107
107,Simplilearn,2018-08-07,27,tutorial beginner makhan,538,1090000,https://www.youtube.com/watch?v=8OixQrWRiXo,31601,tutorial beginner makhan,108
108,edureka!,2019-08-12,11,beginner makhan automationhub,601,2670000,https://www.youtube.com/watch?v=LepMvJdr2-w,22915,beginner makhan automationhub,109
109,Jakub Bielan,2020-05-02,5,java java tutorial,129,1310,https://www.youtube.com/watch?v=FFEVAZhT7iw,2926,java java tutorial,110
110,DFIR.Science,2020-06-29,1,crash course beginner,20,14700,https://www.youtube.com/watch?v=su5kxR57zxw,660,crash course beginner,111
111,CBT Nuggets,2020-10-27,4,python library explained,233,246000,https://www.youtube.com/watch?v=x0yD5pEZ_-g,6702,python library explained,112
112,Codemy.com,2019-04-15,6,python library python,168,64700,https://www.youtube.com/watch?v=5SGqHlQTxLA,6149,python library python,113
113,Python Programmer,2020-10-14,20,learn numpy minute,712,263000,https://www.youtube.com/watch?v=ITC5TGeCTOE,13816,learn numpy minute,114
114,CodingEntrepreneurs,2016-08-30,18,numpy minute best,479,177000,https://www.youtube.com/watch?v=CDTqG_3TLFE,21071,numpy minute best,115
115,byte,,1,minute best python,24,6570,https://www.youtube.com/watch?v=FvPohqEfhs4,116,minute best python,116
116,Buse Yaren Tekin,2021-06-03,0,tutorial beginner module,4,232,https://www.youtube.com/watch?v=ixUUAe8apIU,44,tutorial beginner module,117
117,Unacademy Computer Science,,0,python library beginner,27,115000,https://www.youtube.com/watch?v=LTmUXydRE_w,190,python library beginner,118
118,Corey Schafer,2016-04-06,96,everything need know,11000,779000,https://www.youtube.com/watch?v=tJxcKyFMTGo,586628,everything need know,119
119,Simplilearn,2020-11-19,254,data science python,6400,1090000,https://www.youtube.com/watch?v=D7YMSt2ntWY,249928,data science python,120
120,Programming with Mosh,2020-01-13,509,science python library,22000,1770000,https://www.youtube.com/watch?v=bjFvcFjJpE0,872559,science python library,121
121,Aaron Jack,2021-01-04,136,data science machine,8100,234000,https://www.youtube.com/watch?v=mxKNH2gmdUc,214323,data science machine,122
122,TechLead,2019-12-23,654,science machine learning,12000,1060000,https://www.youtube.com/watch?v=zZ3F7Dodps8,473155,science machine learning,123
123,Clever Programmer,2019-12-13,3800,language learn without,144000,960000,https://www.youtube.com/watch?v=tCAt8eEKPDc,2003539,language learn without,124
124,Data Is Beautiful,2019-10-07,1900,learn without college,92000,1390000,https://www.youtube.com/watch?v=Og847HVwRSI,5516207,learn without college,125
125,Clever Programmer,2021-01-23,188,without college degree,5200,960000,https://www.youtube.com/watch?v=jf3GdvAFHsE,72551,without college degree,126
126,Joma Tech,2019-06-14,592,language learn edureka,30000,1200000,https://www.youtube.com/watch?v=Pb3AAfz5Yjg,852617,language learn edureka,127
127,TechLead,2020-12-03,256,language programming language,5300,1060000,https://www.youtube.com/watch?v=OYpMAFPk1f0,183714,language programming language,128
128,TechLead Show,2020-05-26,65,course learn tableau,2000,128000,https://www.youtube.com/watch?v=3jGFo9bD9Iw,49465,course learn tableau,129
129,edureka!,2019-11-22,913,learn tableau hour,30000,2670000,https://www.youtube.com/watch?v=mUxS-35qO44,1151376,learn tableau hour,130
130,Keep On Coding,2021-03-08,23,training beginner part,1900,139000,https://www.youtube.com/watch?v=ycpvT9MrEXQ,25634,training beginner part,131
131,TechLead,2019-12-26,2000,tutorial tableau full,16000,1060000,https://www.youtube.com/watch?v=LQFsEwcCO1E,501199,tutorial tableau full,132
132,PolyMatter,2018-04-20,8600,tableau explained min,96000,1390000,https://www.youtube.com/watch?v=EFwa5Owp0-k,3089880,tableau explained min,133
133,Simplilearn,2020-12-03,253,tutorial tableau training,11000,1090000,https://www.youtube.com/watch?v=W-9jIVm0-p8,424586,tutorial tableau training,134
134,Clever Programmer,2019-09-04,3100,training beginner simplilearn,12000,960000,https://www.youtube.com/watch?v=H9Ht27r7ROk,800778,training beginner simplilearn,135
135,Hitesh Choudhary,2020-12-07,171,python course python,5800,634000,https://www.youtube.com/watch?v=4H7Cp_S31Q0,132828,python course python,136
136,Clément Mihailescu,2020-07-12,170,course python tutorial,3400,332000,https://www.youtube.com/watch?v=K7-YFU5GpX4,111433,course python tutorial,137
137,edureka!,2020-12-29,306,tableau tableau tutorial,2100,2670000,https://www.youtube.com/watch?v=Bi3MHIQVgdo,243157,tableau tableau tutorial,138
138,Tech With Tim,2020-10-07,48,full course tutorial,2500,660000,https://www.youtube.com/watch?v=rd6SgAIvGjw,80404,full course tutorial,139
139,DataLover,2021-01-04,7,course tutorial beginner,98,1960,https://www.youtube.com/watch?v=M0vBoBqqjr0,6807,course tutorial beginner,140
140,Simplilearn,2021-02-23,37,data science interview,432,1090000,https://www.youtube.com/watch?v=PhsofRguB8M,58243,data science interview,141
141,Clément Mihailescu,2020-12-09,31,science interview question,1500,332000,https://www.youtube.com/watch?v=kYpxolRkaSo,29275,science interview question,142
142,Life of Luba,2021-01-11,51,learn basic minute,1300,103000,https://www.youtube.com/watch?v=sPwLuHIjFak,33139,learn basic minute,143
143,Kalle Hallden,2019-12-13,349,python data visualization,10000,500000,https://www.youtube.com/watch?v=saEkj-GPN3o,374243,python data visualization,144
144,Joma Tech,2018-08-23,146,python training edureka,4000,1200000,https://www.youtube.com/watch?v=k2RqjYCTt6k,149150,python training edureka,145
145,BlueRious Delights,2021-06-03,1,panda data visualization,36,112,https://www.youtube.com/watch?v=0313DliEkVM,171,panda data visualization,146
146,SAAR Technosoft,,0,reason become data,18,247,https://www.youtube.com/watch?v=XaXTy4H13xg,78,reason become data,147
147,Education Buzzword,,0,tool power tableau,2,0,https://www.youtube.com/watch?v=a3takH_VNwE,3,tool power tableau,148
148,ForrestKnight,2020-03-04,90,power tableau power,2800,297000,https://www.youtube.com/watch?v=7uE8g7vQ_jE,87553,power tableau power,149
149,edureka!,2019-07-21,303,power tableau difference,16000,2670000,https://www.youtube.com/watch?v=aHaOIvR00So,1146180,power tableau difference,150
150,freeCodeCamp.org,2019-01-29,95,tableau power best,5100,3630000,https://www.youtube.com/watch?v=TPMlZxRRaBQ,362237,tableau power best,151
151,Penguin Analytics,2018-09-17,171,tableau power power,7800,15200,https://www.youtube.com/watch?v=jEgVto5QME8,706604,tableau power power,152
152,Simplilearn,2018-08-20,57,power power tableau,3400,1090000,https://www.youtube.com/watch?v=fO7g0pnWaRA,387585,power power tableau,153
153,Art of Visualization,2017-10-03,45,tableau power analytics,2800,58300,https://www.youtube.com/watch?v=Nr31rv9tsJ8,276398,tableau power analytics,154
154,Great Learning,2020-01-20,78,difference tableau power,4700,401000,https://www.youtube.com/watch?v=6mBtTNggkUk,219017,difference tableau power,155
155,Tableau Tim,2020-04-18,79,comparison tableau power,5900,14400,https://www.youtube.com/watch?v=7Jl-RwkzqQ4,259604,comparison tableau power,156
156,Simplilearn,2019-09-11,25,tableau qlik sense,1800,1090000,https://www.youtube.com/watch?v=Wh4sCCZjOwo,99705,tableau qlik sense,157
157,Vizual Intelligence Inc.,2018-06-11,73,qlik sense power,3100,8310,https://www.youtube.com/watch?v=Lu0jrymqOGM,271593,qlik sense power,158
158,Academind,2019-10-02,14,power span class,200,676000,https://www.youtube.com/watch?v=N2BFXSxw5mk,13199,power span class,159
159,Intellipaat,2019-09-27,273,href hashtag tableau,4900,985000,https://www.youtube.com/watch?v=KA0QHWm0nWo,301446,href hashtag tableau,160
160,Scouching,2021-05-27,0,hashtag tableau auto,112,5610,https://www.youtube.com/watch?v=SWh3zb-ogT4,3027,hashtag tableau auto,161
161,Lenormand Reader,2021-06-04,0,tableau auto tableau,11,40300,https://www.youtube.com/watch?v=9SVqxodrecM,73,tableau auto tableau,162
162,The Career Force,2020-05-26,13,auto tableau span,684,37300,https://www.youtube.com/watch?v=w2e9kPCLIG4,24917,auto tableau span,163
163,Intellipaat,2019-08-17,2200,tableau span auto,91000,985000,https://www.youtube.com/watch?v=pJ3IPRqiD2M,3013099,tableau span auto,164
164,edureka!,,16,href hashtag powerbi,409,2670000,https://www.youtube.com/watch?v=SJeY6jBiYiE,35939,href hashtag powerbi,165
165,Intellipaat,2020-04-04,145,hashtag powerbi auto,2700,985000,https://www.youtube.com/watch?v=ttCDqyfrcEc,179050,hashtag powerbi auto,166
166,Data Embassy,2018-11-23,19,powerbi auto powerbi,648,967,https://www.youtube.com/watch?v=ZfpUzp8mBSw,70910,powerbi auto powerbi,167
167,sqlbelle,2020-09-13,0,learning tutorial edureka,170,4500,https://www.youtube.com/watch?v=aHVWPYu81JU,8350,learning tutorial edureka,168
168,Great Learning,2021-03-28,6,deep learning machine,163,401000,https://www.youtube.com/watch?v=WAXfRAI96YA,3845,deep learning machine,169
169,Intellipaat,,9,learning machine learning,266,985000,https://www.youtube.com/watch?v=5WpXJO8Wp8s,8046,learning machine learning,170
170,Jalayer Academy,2018-05-08,13,neural network architecture,421,61700,https://www.youtube.com/watch?v=fHe0jFgVPJU,69635,neural network architecture,171
171,Simplilearn,2020-10-10,6,pytorch deep learning,410,1090000,https://www.youtube.com/watch?v=xwj2p4LSD1k,28826,pytorch deep learning,172
172,.NET Interview Preparation videos,2017-04-14,92,artificial intelligence machine,1700,150000,https://www.youtube.com/watch?v=CWFxuTooxTY,195060,artificial intelligence machine,173
173,AblazeGroupBI,2020-03-20,1,intelligence machine learning,112,4100,https://www.youtube.com/watch?v=U2hdxfMFaxc,5427,intelligence machine learning,174
174,Analytics45,2021-01-17,0,machine learning model,51,41,https://www.youtube.com/watch?v=ZbYuJjGYJTM,2625,machine learning model,175
175,Data Science Tutorials,2021-06-04,0,href hashtag short,0,29300,https://www.youtube.com/watch?v=PxXRjAUbWiY,16,href hashtag short,176
176,edureka!,2018-08-22,14,hashtag short auto,545,2670000,https://www.youtube.com/watch?v=z4mLwELziNg,24582,hashtag short auto,177
177,edureka!,2016-12-07,204,short auto short,5200,2670000,https://www.youtube.com/watch?v=jj6-0cvcNEA,849327,short auto short,178
178,sqlbelle,2020-11-30,0,learning artificial intelligence,168,4500,https://www.youtube.com/watch?v=cGa7QDeueTA,4900,learning artificial intelligence,179
179,freeCodeCamp.org,2018-07-02,1500,deep learning computerphile,131000,3630000,https://www.youtube.com/watch?v=HXV3zeQKqGY,6835878,deep learning computerphile,180
180,Programming with Mosh,2019-03-19,921,hadoop full course,98000,1770000,https://www.youtube.com/watch?v=7S_tz1z_5bA,3889676,hadoop full course,181
181,Joey Blue,2017-09-13,599,course learn hadoop,25000,36700,https://www.youtube.com/watch?v=9Pzj7Aj25lw,2598267,course learn hadoop,182
182,edureka!,2019-05-26,242,hadoop introduction hadoop,13000,2670000,https://www.youtube.com/watch?v=BPHAr4QGGVE,902274,hadoop introduction hadoop,183
183,Derek Banas,2019-10-01,23,tutorial beginner data,2300,1120000,https://www.youtube.com/watch?v=XqIk2PwP0To,82999,tutorial beginner data,184
184,edureka!,2019-10-04,367,hadoop hadoop training,15000,2670000,https://www.youtube.com/watch?v=zbMHLJ0dY4w,805271,hadoop hadoop training,185
185,Intellipaat,,64,tutorial beginner simplilearn,2600,985000,https://www.youtube.com/watch?v=LGTbdjoEBVM,118378,tutorial beginner simplilearn,186
186,Socratica,2019-03-25,207,tutorial beginner introduction,12000,683000,https://www.youtube.com/watch?v=9yeOJ0ZMUYw,324670,tutorial beginner introduction,187
187,Web Dev Simplified,2018-11-17,44,course hour data,7300,554000,https://www.youtube.com/watch?v=p3qvj9hO_Bo,258657,course hour data,188
188,Simplilearn,2021-04-12,5,hadoop training hadoop,241,1090000,https://www.youtube.com/watch?v=M-55BmjOuXY,9720,hadoop training hadoop,189
189,freeCodeCamp.org,2018-08-31,625,training hadoop tutorial,29000,3630000,https://www.youtube.com/watch?v=ztHopE5Wnpc,1236684,training hadoop tutorial,190
190,Tina Huang,2020-09-04,64,hadoop tutorial intellipaat,4100,69400,https://www.youtube.com/watch?v=Td-cmLfQ7uU,118611,hadoop tutorial intellipaat,191
191,Intellipaat,2019-08-17,2200,hadoop tutorial edureka,91000,985000,https://www.youtube.com/watch?v=pJ3IPRqiD2M,3013086,hadoop tutorial edureka,192
192,freeCodeCamp.org,2021-03-11,35,architecture hadoop tutorial,8300,3630000,https://www.youtube.com/watch?v=4cWkVbC2bNE,200596,architecture hadoop tutorial,193
193,Intellipaat,2020-01-14,290,hadoop yarn tutorial,11000,985000,https://www.youtube.com/watch?v=wkOD6mbXc2M,630322,hadoop yarn tutorial,194
194,James Vance,2017-08-05,264,yarn tutorial hadoop,6100,4850,https://www.youtube.com/watch?v=bEtnYWuo2Bw,460139,yarn tutorial hadoop,195
195,techTFQ,2020-12-11,4,hadoop yarn architecture,419,845,https://www.youtube.com/watch?v=Hl4NZB1XR9c,13204,hadoop yarn architecture,196
196,Geek's Lesson,2019-08-31,125,tutorial beginner apache,3500,410000,https://www.youtube.com/watch?v=2Fn0WAyZV0E,220494,tutorial beginner apache,197
197,365 Data Science,2019-01-22,114,beginner apache hadoop,3900,182000,https://www.youtube.com/watch?v=2bW3HuaAUcY,180626,beginner apache hadoop,198
198,Socratica,2019-03-01,42,hive tutorial beginner,4400,683000,https://www.youtube.com/watch?v=YufocuHbYZo,123600,hive tutorial beginner,199
199,Amigoscode,2021-01-31,11,tutorial beginner hive,1800,185000,https://www.youtube.com/watch?v=5hzZtqCNQKk,31777,tutorial beginner hive,200
200,Vitamin Business Intelligence,2020-11-11,12,hadoop tutorial hdfs,1300,8830,https://www.youtube.com/watch?v=kbKty5ZVKMY,48365,hadoop tutorial hdfs,201
201,Danielle Thé,2019-04-16,329,hive tutorial hive,20000,37900,https://www.youtube.com/watch?v=27axs9dO7AE,826361,hive tutorial hive,202
202,Intellipaat,2019-06-14,551,azure microsoft azure,16000,985000,https://www.youtube.com/watch?v=JTDK6r1GuUU,944138,azure microsoft azure,203
203,Duckademy IT courses,2015-08-20,95,azure full course,1300,26700,https://www.youtube.com/watch?v=sHQhc5Jz6SQ,248952,azure full course,204
204,Joey Blue,2017-09-27,120,azure fundamental certification,8200,36700,https://www.youtube.com/watch?v=2HVMiPPuPIM,489666,azure fundamental certification,205
205,Intellipaat,,2,azure tutorial azure,132,985000,https://www.youtube.com/watch?v=RRSeHLdnApc,2003,azure tutorial azure,206
206,Hack7 Academy,,0,azure tutorial intellipaat,0,6,https://www.youtube.com/watch?v=fktyZ15bSPU,0,azure tutorial intellipaat,207
207,Database Star,2021-06-03,0,azure devops tutorial,2,8110,https://www.youtube.com/watch?v=rnMa6HQ1_AE,33,azure devops tutorial,208
208,IPNETERA,2021-06-03,0,devops tutorial beginner,1,40,https://www.youtube.com/watch?v=9RsbUKBXtAo,11,devops tutorial beginner,209
209,freeCodeCamp.org,2020-04-15,210,beginner azure devops,20000,3630000,https://www.youtube.com/watch?v=r-uOLxNrNk8,806718,beginner azure devops,210
210,Data Analytics.m,2021-02-18,2,azure training azure,47,415,https://www.youtube.com/watch?v=NF4WX-cDsTA,1849,azure training azure,211
211,Keith Galli,2019-06-01,17,training azure tutorial,3500,115000,https://www.youtube.com/watch?v=DAQNHzOcO5A,106098,training azure tutorial,212
212,Python Programmer,2019-01-17,1200,active directory tutorial,14000,263000,https://www.youtube.com/watch?v=xECXZ3tyONo,461403,active directory tutorial,213
213,Nicole Enesse,2021-05-27,0,azure tutorial simplilearn,50,1130,https://www.youtube.com/watch?v=yNL_f7sTNh8,883,azure tutorial simplilearn,214
214,TEKNISHA,2017-06-12,182,tutorial azure training,2800,7580,https://www.youtube.com/watch?v=_XfWkCsvbEU,390925,tutorial azure training,215
215,sentdex,2019-02-26,30,microsoft azure service,1900,1040000,https://www.youtube.com/watch?v=DamIIzp41Jg,120287,microsoft azure service,216
216,Think And Build,2020-05-20,1,azure training edureka,30,578,https://www.youtube.com/watch?v=tsZqcjXSFE4,378,azure training edureka,217
217,Coding Professor,2021-04-24,1,azure interview question,93,1440,https://www.youtube.com/watch?v=jNiQaErXg8s,1941,azure interview question,218
218,Popfizz Computer Science,2020-12-15,1,feature selection scikit,25,1210,https://www.youtube.com/watch?v=t98Luhoo-LQ,933,feature selection scikit,219
219,edureka!,2021-04-15,5,selection scikit learn,225,2670000,https://www.youtube.com/watch?v=N9dFj1ZKZFE,8808,selection scikit learn,220
220,Kostadin Ristovski,2020-05-07,0,machine learning course,33,1600,https://www.youtube.com/watch?v=uF0BAYfyqFo,1018,machine learning course,221
221,The Fullstack Ninja,2020-10-25,0,feature engineering feature,25,285,https://www.youtube.com/watch?v=x_O9seqxuhA,1203,feature engineering feature,222
222,PyData,2017-07-24,13,learning tutorial chap,359,117000,https://www.youtube.com/watch?v=KvZ2KSxlWBY,26307,learning tutorial chap,223
223,IIT Roorkee July 2018,2019-06-22,0,tutorial chap part,2,71800,https://www.youtube.com/watch?v=EK6HFPJ4Kds,843,tutorial chap part,224
224,Code With Ultimate Passion,2021-01-27,1,chap part feature,70,104,https://www.youtube.com/watch?v=08qhNuZ3ayc,399,chap part feature,225
225,Codecademy,,6,feature selection rohit,295,139000,https://www.youtube.com/watch?v=d3ToVHIXJHE,11736,feature selection rohit,226
226,Erwin Budi Setiawan,2021-06-04,0,selection rohit ghosh,0,443,https://www.youtube.com/watch?v=wsmhKqqVbhA,1,selection rohit ghosh,227
227,Think And Build,2020-05-22,19,rohit ghosh greyatom,402,578,https://www.youtube.com/watch?v=tse_8LLWtfY,20307,rohit ghosh greyatom,228
228,TECH DOSE,2019-05-20,1,introduction feature selection,22,62700,https://www.youtube.com/watch?v=f4u7Tvy6EeA,1895,introduction feature selection,229
229,CS Dojo,2018-06-11,236,feature selection drop,21000,1670000,https://www.youtube.com/watch?v=a9UrKTVEeZA,992509,feature selection drop,230
230,KGP Talkie,2019-06-07,3,recursive feature elimination,118,33200,https://www.youtube.com/watch?v=0IKz-KxDCuM,3844,recursive feature elimination,231
231,freeCodeCamp.org,2021-02-18,97,machine learning telugu,10000,3630000,https://www.youtube.com/watch?v=GPVsHOlRBBI,270470,machine learning telugu,232
232,Intellipaat,,10,telugu machine learning,294,985000,https://www.youtube.com/watch?v=_YWwU-gJI5U,13402,telugu machine learning,233
233,Charming Data,2020-05-13,48,language processing minute,8200,15600,https://www.youtube.com/watch?v=hSPmj7mK6ng,293929,language processing minute,234
234,edureka!,2017-04-19,125,tutorial beginner training,3500,2670000,https://www.youtube.com/watch?v=yZTBMMdPOww,223463,tutorial beginner training,235
235,Erik Marsja,2020-12-06,1,beginner training edureka,34,1650,https://www.youtube.com/watch?v=W_YUk8IvsqI,1464,beginner training edureka,236
236,edureka!,,107,language processing deep,1100,2670000,https://www.youtube.com/watch?v=TLdXM0A7SR8,79229,language processing deep,237
237,Alex The Analyst,2020-08-12,250,processing deep learning,6000,67700,https://www.youtube.com/watch?v=M2ySRYpo9S0,262245,processing deep learning,238
238,Avi Singh - PowerBIPro,2018-01-10,231,language processing python,2200,117000,https://www.youtube.com/watch?v=FoqSPCtj7zo,311171,language processing python,239
239,The Career Force,2020-05-19,94,neuro linguistic programming,775,37500,https://www.youtube.com/watch?v=fqgVj5HchU8,33914,neuro linguistic programming,240
240,Intellipaat,2019-10-05,103,language processing text,801,991000,https://www.youtube.com/watch?v=62tmEvrA6WE,70702,language processing text,241
241,TechnologyAdvice,2019-12-13,7,processing text mining,126,16800,https://www.youtube.com/watch?v=_2Vg4OwHR-s,20304,processing text mining,242
242,CBT Nuggets,2019-02-01,12,text mining tutorial,234,246000,https://www.youtube.com/watch?v=R-8g8rS_5_E,24921,text mining tutorial,243
243,sqlbelle,2021-01-04,0,language processing word,58,4580,https://www.youtube.com/watch?v=itvHNbIsI64,1717,language processing word,244
244,Simplilearn,2020-04-08,20,stanford deep learning,149,1100000,https://www.youtube.com/watch?v=b_ODnhv68OI,13819,stanford deep learning,245
245,Exploring Me,2020-12-01,1,deep learning winter,33,0,https://www.youtube.com/watch?v=zbG-pfGyNFc,694,deep learning winter,246
246,DTAiQ,2019-04-24,4,language processing part,90,173,https://www.youtube.com/watch?v=s7_t2-vbRh4,8596,language processing part,247
247,edureka!,2018-02-13,42,application great learning,727,2680000,https://www.youtube.com/watch?v=SiqcQM87uF4,67980,application great learning,248
248,Pavan Lalwani - POWER BI,2020-02-08,11,tutorial python beginner,459,15800,https://www.youtube.com/watch?v=QoKK7TqcG4s,11044,tutorial python beginner,249
249,MyOnlineTrainingHub,2020-11-02,57,python beginner full,5200,317000,https://www.youtube.com/watch?v=Z2t7l8b1uWU,273220,python beginner full,250
250,The Everyday Dad,2021-04-19,118,absolute beginner variable,1400,336000,https://www.youtube.com/watch?v=0QZdZXNmOAQ,43606,absolute beginner variable,251
251,Tableau Tim,2020-04-18,81,python hour full,5900,14600,https://www.youtube.com/watch?v=7Jl-RwkzqQ4,262489,python hour full,252
252,Tutorials Point (India) Ltd.,2020-02-26,43,hour full course,3400,2260000,https://www.youtube.com/watch?v=grX-r4nxEXM,191458,hour full course,253
253,Garrett Mehrguth,2019-10-10,11,python beginner tutorial,266,0,https://www.youtube.com/watch?v=xtd34u3Oc94,15009,python beginner tutorial,254
254,How to Get an Analytics Job,2020-01-23,1,long take learn,13,8980,https://www.youtube.com/watch?v=VDYMahS5sH8,1229,long take learn,255
255,Amit Chandak,2021-03-16,0,take learn python,7,1880,https://www.youtube.com/watch?v=nmBVc2fN6aU,202,take learn python,256
256,Pettaka Technologies,2020-10-16,4,course learn python,34,3920,https://www.youtube.com/watch?v=Gr866GWq4WU,3622,course learn python,257
257,Visual BI Solutions,2020-11-04,0,python hour python,2,96,https://www.youtube.com/watch?v=S6K5hewPTTw,355,python hour python,258
258,Senturus,2020-01-15,0,hour python tutorial,41,1380,https://www.youtube.com/watch?v=ylp2eZDUBD0,4376,hour python tutorial,259
259,Alex The Analyst,2021-06-01,2,python python programming,263,69100,https://www.youtube.com/watch?v=RJw-GSXXguA,4095,python python programming,260
260,Jellyman Education,2020-07-28,8,python programming beginner,9,3180,https://www.youtube.com/watch?v=wEIghXXFuNc,587,python programming beginner,261
261,Data Cubed Limited,2020-06-03,0,programming beginner python,46,33,https://www.youtube.com/watch?v=Z-EeO2_WIOw,3716,programming beginner python,262
262,Excibit Corp,2019-04-01,4,tutorial beginner hour,7,61,https://www.youtube.com/watch?v=8t295x9OH8o,1263,tutorial beginner hour,263
263,Senturus,2021-01-05,0,python tutorial introduction,1,1380,https://www.youtube.com/watch?v=yGA8pPEjVuA,63,python tutorial introduction,264
