,channelName,date,dislikes,title,likes,Subscribers,url,Views,Keywords,id
455,Mansoor Alam,2019-03-21,4,beginner video module,108,884,https://www.youtube.com/watch?v=BCuIq206lrA,8811,beginner video module,456
456,Krish Naik,,9,video module package,718,374000,https://www.youtube.com/watch?v=k-EpAMjw6AE,19733,video module package,457
457,Simplilearn,2020-11-25,8,module package library,130,1100000,https://www.youtube.com/watch?v=5bHpPQ6_OU4,7681,module package library,458
458,codebasics,2020-05-25,13,package library python,645,319000,https://www.youtube.com/watch?v=pYVScuY-GPk,32100,package library python,459
459,Analytics University,2018-05-21,13,data science full,93,57500,https://www.youtube.com/watch?v=uE1HhCPusMQ,11632,data science full,460
460,GreyAtom EduTech,2019-06-28,0,science full course,30,0,https://www.youtube.com/watch?v=AOe8fAyR8mM,2351,science full course,461
461,Dr. Bharatendra Rai,2018-08-18,4,full course python,597,33100,https://www.youtube.com/watch?v=VEBax2WMbEA,24139,full course python,462
462,Andreas Mueller,2019-03-06,0,course python library,56,8100,https://www.youtube.com/watch?v=EQQ5YQibXOI,3793,course python library,463
463,Geoff Hulten,2021-02-06,0,library beginner simplilearn,14,1370,https://www.youtube.com/watch?v=mHrjhif2Cgw,338,library beginner simplilearn,464
464,Packt Video,2018-01-04,3,super quick python,135,73500,https://www.youtube.com/watch?v=7wK0bX8GVXo,10771,super quick python,465
465,KGP Talkie,2019-08-16,7,quick python automation,220,33300,https://www.youtube.com/watch?v=kA4mD3y4aqA,13010,quick python automation,466
466,Ranjan Sharma,2020-06-15,2,python automation idea,37,3470,https://www.youtube.com/watch?v=sbFyNaL4dBA,897,python automation idea,467
467,KGP Talkie,2019-08-23,2,mastering python everything,85,33300,https://www.youtube.com/watch?v=PWZLhr3FfIM,6674,mastering python everything,468
468,KGP Talkie,2019-08-20,6,python everything need,129,33300,https://www.youtube.com/watch?v=m0fs0v5GGlg,7864,python everything need,469
469,Machine Learnia,2020-02-21,0,need know become,686,48000,https://www.youtube.com/watch?v=T4nZDuakYlU,23907,need know become,470
470,DataCamp,2020-03-20,0,know become python,38,115000,https://www.youtube.com/watch?v=pr5LXi4U10c,3444,know become python,471
471,Sundar Ramamurthy,,2,become python master,33,1140,https://www.youtube.com/watch?v=F6kqgeciX4o,1462,become python master,472
472,Krish Naik,2020-09-30,10,beginner module package,706,374000,https://www.youtube.com/watch?v=uMlU2JaiOd8,25337,beginner module package,473
473,Better Data Science,2020-06-24,4,python module module,116,917,https://www.youtube.com/watch?v=jXSw6em5whI,4444,python module module,474
474,Data 360 YP,2019-12-24,4,module module python,349,10100,https://www.youtube.com/watch?v=NPdn3YPkg9w,8045,module module python,475
475,GreyAtom EduTech,2019-06-28,2,module python python,4,0,https://www.youtube.com/watch?v=2niTCaIveSU,832,module python python,476
476,Anvil Analytics &amp; Insights,2020-08-10,0,library explained python,9,442,https://www.youtube.com/watch?v=jDIueG8COvY,976,library explained python,477
477,Shripad Bhat,2019-11-27,0,explained python tutorial,21,88,https://www.youtube.com/watch?v=CMi7JuLP7eI,693,explained python tutorial,478
478,Saptarsi Goswami,2020-06-16,1,python tutorial simplilearn,55,2220,https://www.youtube.com/watch?v=8SmbLFH80To,2076,python tutorial simplilearn,479
479,Krish Naik,2020-10-02,6,machine learning data,841,374000,https://www.youtube.com/watch?v=FndwYNcVe0U,24269,machine learning data,480
480,caltech,2018-05-25,0,learning data science,18,143000,https://www.youtube.com/watch?v=JA9W72UWR0c,1020,learning data science,481
481,Databricks,2017-10-26,2,python library edureka,13,45100,https://www.youtube.com/watch?v=iUNk-i5aFPY,3593,python library edureka,482
482,Krish Naik,2021-01-27,4,python library could,177,374000,https://www.youtube.com/watch?v=i-MF3CXWWEM,6286,python library could,483
483,Jp NaN,2020-12-03,1,library could missed,20,6900,https://www.youtube.com/watch?v=_6XEAXBtwLs,461,library could missed,484
484,Usama Albaghdady,2020-02-16,1,python programming import,16,53,https://www.youtube.com/watch?v=MYnxxRoPiwI,1510,python programming import,485
485,nptelhrd,2014-10-08,2,programming import library,61,1850000,https://www.youtube.com/watch?v=QwS20ytvThE,11499,programming import library,486
486,Leonardo Bezerra,,0,python library network,2,80,https://www.youtube.com/watch?v=D-SRERibbiU,39,python library network,487
487,edureka!,2018-10-15,282,library network automation,7600,2680000,https://www.youtube.com/watch?v=5ctbvkAMQO4,427861,library network automation,488
488,TensorFlow,2020-02-20,25,creating module python,3300,347000,https://www.youtube.com/watch?v=fNxaJsNG3-s,162912,creating module python,489
489,Google Developers,2020-06-24,10,essential python module,452,2170000,https://www.youtube.com/watch?v=-8XmD2zsFBI,13944,essential python module,490
490,Intellipaat,,7,python module beginner,309,991000,https://www.youtube.com/watch?v=68lIfswwG2A,7464,python module beginner,491
491,Simplilearn,2021-03-17,2,module beginner know,282,1100000,https://www.youtube.com/watch?v=CMrHM8a3hqw,9125,module beginner know,492
492,freeCodeCamp.org,2018-09-27,72,difference framework python,2000,3660000,https://www.youtube.com/watch?v=X2vAabgKiuM,136805,difference framework python,493
493,PyOhio,2018-07-29,216,framework python library,12000,13300,https://www.youtube.com/watch?v=xvqsFTUsOmc,990432,framework python library,494
494,Machine Learning TV,2018-07-18,18,python library class,789,24600,https://www.youtube.com/watch?v=nxhCyeRR75Q,55852,python library class,495
495,Unfold Data Science,2020-04-07,1,library class lecture,126,13900,https://www.youtube.com/watch?v=cs049uQWbpg,3787,library class lecture,496
496,Damon Cart,2019-05-22,191,class lecture computer,5600,56600,https://www.youtube.com/watch?v=MIl3WGKVBn4,178182,class lecture computer,497
497,Krish Naik,2019-11-26,701,lecture computer science,36000,374000,https://www.youtube.com/watch?v=k2P_pHQDlp0,1040725,lecture computer science,498
498,Bay Area NLP And Hypnosis,2015-02-05,443,computer science byte,10000,19600,https://www.youtube.com/watch?v=MQiMFs2SIFk,783078,computer science byte,499
499,Yellow Brick Cinema - Relaxing Music,2014-06-26,46000,science byte learning,899000,5390000,https://www.youtube.com/watch?v=WPni755-Krg,162761631,science byte learning,500
500,Rasa,2020-08-03,0,byte learning session,103,15800,https://www.youtube.com/watch?v=w6SQ4-2tCA4,3124,byte learning session,501
501,Machine Learning TV,2017-02-11,13,numpy series frequently,225,24600,https://www.youtube.com/watch?v=V8qrVleGY5U,24528,numpy series frequently,502
502,Simplilearn,2020-06-03,2,series frequently used,169,1100000,https://www.youtube.com/watch?v=7WfoYl-EPtI,7826,series frequently used,503
503,Machine Learning TV,2018-07-27,52,frequently used python,1400,24600,https://www.youtube.com/watch?v=wNBaNhvL4pg,85503,frequently used python,504
504,Google Cloud Tech,2019-12-17,6,used python library,501,727000,https://www.youtube.com/watch?v=UFtXy0KRxVI,17350,used python library,505
505,Coding Tech,2018-12-23,7,python library matplotlib,285,625000,https://www.youtube.com/watch?v=R9z6s0Jx2p0,15923,python library matplotlib,506
506,edureka!,2018-10-08,98,library matplotlib stack,3300,2680000,https://www.youtube.com/watch?v=05ONoGfmKvA,233251,library matplotlib stack,507
507,stanfordonline,2021-01-30,17,matplotlib stack plot,482,260000,https://www.youtube.com/watch?v=knTc-NQSjKA,20353,matplotlib stack plot,508
508,KGP Talkie,2020-05-28,26,stack plot line,215,33300,https://www.youtube.com/watch?v=h_U27jBNYI4,16957,stack plot line,509
509,Krish Naik,2020-05-02,10,plot line plot,1300,374000,https://www.youtube.com/watch?v=IKgBLTeQQL8,53347,plot line plot,510
510,Stanford University School of Engineering,2017-04-03,88,line plot data,5900,143000,https://www.youtube.com/watch?v=OQQ-W_63UgQ,693992,line plot data,511
511,Nerchuko,2021-06-08,0,plot data science,4,732,https://www.youtube.com/watch?v=MZTT9lBECqQ,30,plot data science,512
512,Eduonix Learning Solutions,2018-07-18,9,python tutorial module,576,96600,https://www.youtube.com/watch?v=G4UVJoGFAv0,33784,python tutorial module,513
513,edureka!,,7,tutorial module underlying,239,2680000,https://www.youtube.com/watch?v=wCXOi_k3kyY,9585,tutorial module underlying,514
514,PyCon US,2020-04-29,8,module underlying operating,740,13400,https://www.youtube.com/watch?v=vyOgWhwUmec,24988,module underlying operating,515
515,Abhishek Mishra,2018-10-20,2,underlying operating system,33,126,https://www.youtube.com/watch?v=OkNUKYLxpZU,3216,underlying operating system,516
516,PyCon Israel,2019-06-24,1,operating system functionality,53,1950,https://www.youtube.com/watch?v=7gvcNjBm6yI,3013,operating system functionality,517
517,Enterprise AI,2019-05-04,0,language learn simplilearn,35,1320,https://www.youtube.com/watch?v=JznDBeqS1lg,1527,language learn simplilearn,518
518,Krish Naik,2020-05-07,12,programming language know,760,374000,https://www.youtube.com/watch?v=MO5n5JaRotc,40749,programming language know,519
519,Rasa,2020-05-12,3,language know software,684,15800,https://www.youtube.com/watch?v=zMxvS7hD-Ug,20839,language know software,520
520,Gate Smashers,2019-05-16,59,know software engineer,3000,537000,https://www.youtube.com/watch?v=bPpwZxasJo0,128635,know software engineer,521
521,Import Data,2020-05-19,2,programming language faang,93,1550,https://www.youtube.com/watch?v=DgTG2Qg-x0k,3094,programming language faang,522
522,stanfordonline,2019-05-03,13,language faang google,1000,260000,https://www.youtube.com/watch?v=XXtpJxZBa2c,81110,language faang google,523
523,AI Coffee Break with Letitia,2020-07-05,7,faang google tech,596,4840,https://www.youtube.com/watch?v=FWFA4DGuzSc,15533,faang google tech,524
524,Google Developers,2020-06-16,6,google tech lead,350,2170000,https://www.youtube.com/watch?v=f5YJA5mQD5c,13857,google tech lead,525
